title,bid,opening,ending,extract_dt
Veículo CHEVROLET CELTA HATCH LIFE,"R$ 4.200,00",03/09/2021,08/10/2021 10:00:00,02/10/2021 04:09:23
150 Calças Jeans Infantis,"R$ 4.500,00",03/09/2021,08/10/2021 11:00:00,02/10/2021 04:09:23
Imóvel Comercial 225 m² - Ipiranga - Ribeirão Preto/SP,"R$ 87.331,77",03/09/2021,08/10/2021 13:00:00,02/10/2021 04:09:23
Apartamento 128 m² - Pompéia - São Paulo/SP,"R$ 205.958,40",31/08/2021,05/10/2021 13:00:00,02/10/2021 04:09:23
Casa 51 m² - Alto da Ponte - São José dos Campos/SP,"R$ 175.532,48",07/09/2021,05/10/2021 13:00:00,02/10/2021 04:09:23
Motocicleta HONDA NXR 150 BROS ESD,"R$ 8.225,00",05/10/2021,08/10/2021 10:00:00,02/10/2021 04:09:24
Casa 150 m² - Jardim Morumbi - Bragança Paulista/SP,"R$ 207.762,90",04/10/2021,07/10/2021 13:30:00,02/10/2021 04:09:24
Apartamento em São Caetano do Sul / SP,"R$ 373.087,00",04/10/2021,07/10/2021 13:00:00,02/10/2021 04:09:24
Casa 200 m² - Parque Residencial Universo - São José do Rio Preto/SP,"R$ 166.095,15",30/08/2021,04/10/2021 13:30:00,02/10/2021 04:09:24
Terreno 180 m² - Jardim Progresso - Cosmorama/SP,"R$ 32.955,79",04/10/2021,07/10/2021 13:00:00,02/10/2021 04:09:24
Apartamento 48 m² - Vila Leopoldina - São Paulo/SP,"R$ 262.350,63",01/10/2021,04/10/2021 13:00:00,02/10/2021 04:09:24
Apartamento 46 m² - Jardim Umuarama - Itanhaém/SP,"R$ 34.583,93",01/10/2021,04/10/2021 14:00:00,02/10/2021 04:09:24
"Terreno 9.557,00 m² - Santa Cruz - Conchas/SP","R$ 7.054.305,50",01/10/2021,04/10/2021 13:01:00,02/10/2021 04:09:24
"Chácara 2,3545 ha - Chácara São José - Sertãozinho/SP","R$ 388.889,53",05/10/2021,08/10/2021 13:00:00,02/10/2021 04:09:24
Casa 345 m² - Vila Virginia - Ribeirão Preto/SP,"R$ 201.293,28",02/09/2021,07/10/2021 13:00:00,02/10/2021 04:09:24
Apartamento 46 m² - Vila Pomar - Mogi das Cruzes/SP,"R$ 148.833,63",01/10/2021,04/10/2021 14:00:00,02/10/2021 04:09:25
"Terreno 4.970,00 m² - Santa Cruz - Conchas/SP","R$ 6.521.759,50",01/10/2021,04/10/2021 13:00:00,02/10/2021 04:09:25
Casa 285 m² - Jardim Valparaíba - São José dos Campos/SP,"R$ 236.978,11",27/09/2021,18/10/2021 14:00:00,02/10/2021 04:09:26
Casa 119 m² - Vila Industrial - Sertãozinho/SP,"R$ 47.567,91",12/10/2021,15/10/2021 14:01:00,02/10/2021 04:09:26
Casa 74 m² - Jardim Vitória - Sertãozinho/SP,"R$ 174.714,81",12/10/2021,15/10/2021 14:00:00,02/10/2021 04:09:26
Veículo CHEVROLET CORSA WIND,"R$ 6.800,00",15/10/2021,18/10/2021 09:30:00,02/10/2021 04:09:26
Uma Máquina Hidráulica - Marca Delta,"R$ 22.000,00",15/10/2021,18/10/2021 10:30:00,02/10/2021 04:09:27
Motocicleta HONDA FAN125,"R$ 2.500,00",15/10/2021,18/10/2021 11:30:00,02/10/2021 04:09:27
Terreno 377 m² - Jardim Nova Bragança - Bragança Paulista/SP,"R$ 187.257,13",15/10/2021,18/10/2021 13:00:00,02/10/2021 04:09:27
Casa - Centro - Sertãozinho/SP,"R$ 17.239,80",12/10/2021,15/10/2021 13:00:00,02/10/2021 04:09:27
Apartamento 411 m² - Santo Amaro - São Paulo/SP,"R$ 568.556,46",10/09/2021,15/10/2021 14:00:00,02/10/2021 04:09:27
Veículo VOLKSWAGEN GOL 1.0,"R$ 6.000,00",12/10/2021,15/10/2021 11:00:00,02/10/2021 04:09:27
Casa 100 m² - Recanto Elisabeth - Bragança Paulista/SP,"R$ 228.000,00",12/10/2021,15/10/2021 14:00:00,02/10/2021 04:09:28
Veículo NISSAN X TRAIL SE,"R$ 56.000,00",12/10/2021,15/10/2021 10:00:00,02/10/2021 04:09:28
Veículo CHEVROLET ONIX 1.4 AT LT,"R$ 49.228,54",12/10/2021,15/10/2021 12:00:00,02/10/2021 04:09:28
"aprox. 886,70  metros de tecidos de algodão em rolos","R$ 5.900,00",30/09/2021,18/10/2021 11:44:00,02/10/2021 04:09:28
Casa - Vila Monteiro - São Simão/SP,"R$ 40.134,82",12/10/2021,15/10/2021 13:30:00,02/10/2021 04:09:28
mobiliários diversos,"R$ 80,00",23/09/2021,15/10/2021 11:20:00,02/10/2021 04:09:28
06 poltronas para hidratação,"R$ 80,00",23/09/2021,15/10/2021 11:22:00,02/10/2021 04:09:28
Terreno 1.086 m² - Rod. Raposo Tavares - Araçoiaba da Serra/SP,"R$ 317.293,90",12/10/2021,15/10/2021 13:45:00,02/10/2021 04:09:29
"aprox. 99,70 metros de tecidos seda em rolos","R$ 2.000,00",30/09/2021,18/10/2021 11:46:00,02/10/2021 04:09:29
Veículo TOYOTA COROLLA XLI 1.6 16V VT,"R$ 23.666,00",26/10/2021,29/10/2021 12:00:00,02/10/2021 04:09:29
camas e poltronas,"R$ 100,00",23/09/2021,15/10/2021 11:18:00,02/10/2021 04:09:29
"Porção de Terras 5,44 ha - Itápolis/SP","R$ 630.182,10",26/10/2021,29/10/2021 13:00:00,02/10/2021 04:09:29
fogão de 04 bocas,"R$ 80,00",23/09/2021,15/10/2021 11:46:00,02/10/2021 04:09:30
14 cadeiras fixas estofadas,"R$ 280,00",23/09/2021,15/10/2021 11:44:00,02/10/2021 04:09:30
"aprox. 342,10 metros de tecidos diversos em rolos","R$ 2.700,00",30/09/2021,18/10/2021 12:08:00,02/10/2021 04:09:30
"aprox. 283,40 metros de tecidos de algodão em rolos","R$ 2.200,00",30/09/2021,18/10/2021 12:06:00,02/10/2021 04:09:30
"aprox. 427,25 metros de tecidos de algodão em rolos","R$ 3.700,00",30/09/2021,18/10/2021 12:10:00,02/10/2021 04:09:30
poltrona na cor preta,"R$ 50,00",23/09/2021,15/10/2021 12:10:00,02/10/2021 04:09:31
Motocicleta YAMAHA FAZER 250 BLUEFLEX,"R$ 7.660,80",27/09/2021,04/11/2021 11:00:00,02/10/2021 04:09:31
Apartamento 56 m² - Butantã - São Paulo/SP,"R$ 159.821,25",27/09/2021,04/11/2021 14:00:00,02/10/2021 04:09:31
maca hospitalar de transporte,"R$ 120,00",23/09/2021,15/10/2021 12:06:00,02/10/2021 04:09:31
Apartamento 45 m² - Caguaçú - Sorocaba/SP,"R$ 100.970,77",24/09/2021,29/10/2021 13:00:00,02/10/2021 04:09:31
Apartamento 58 m² - Conceição - Diadema/SP,"R$ 238.059,36",01/11/2021,04/11/2021 13:00:00,02/10/2021 04:09:31
Casa 213 m² - Jardim Giuliani - São José do Rio Preto/SP,"R$ 216.792,22",01/11/2021,04/11/2021 13:45:00,02/10/2021 04:09:32
Terreno 5.000 m² - Chácara de Recreio Campos Elíseos - Pardinho/SP,"R$ 124.017,70",01/11/2021,04/11/2021 14:02:00,02/10/2021 04:09:32
maca e chassi,"R$ 150,00",23/09/2021,15/10/2021 12:08:00,02/10/2021 04:09:32
Terreno 5.000 m² - Chácara de Recreio Campos Elíseos - Pardinho/SP,"R$ 124.017,70",01/11/2021,04/11/2021 14:01:00,02/10/2021 04:09:32
Terreno 5.000 m² - Chácara de Recreio Campos Elíseos - Pardinho/SP,"R$ 161.035,38",01/11/2021,04/11/2021 14:00:00,02/10/2021 04:09:32
14 mesas diversas,"R$ 120,00",23/09/2021,15/10/2021 12:30:00,02/10/2021 04:09:32
07 macas para ambulatório,"R$ 180,00",23/09/2021,15/10/2021 12:28:00,02/10/2021 04:09:32
Veículo VOLKSWAGEN GOL 1.0,"R$ 22.200,00",01/11/2021,04/11/2021 12:00:00,02/10/2021 04:09:32
02 sofás tipo camas,"R$ 80,00",23/09/2021,15/10/2021 12:34:00,02/10/2021 04:09:33
cama hospitalar marcmil,"R$ 240,00",23/09/2021,15/10/2021 12:26:00,02/10/2021 04:09:33
Motocicleta SUZUKI BANDIT 1250,"R$ 20.600,00",01/11/2021,04/11/2021 11:00:00,02/10/2021 04:09:33
"aprox. 537,30 metros de tecidos de algodão em rolos","R$ 3.500,00",30/09/2021,18/10/2021 12:18:00,02/10/2021 04:09:33
"Gleba de Terra 34,60 ha - Fazenda Ressaca - Nuporanga/SP","R$ 2.423.201,25",02/11/2021,05/11/2021 14:00:00,02/10/2021 04:09:33
06 macas para ambulatórios,"R$ 100,00",23/09/2021,15/10/2021 12:32:00,02/10/2021 04:09:33
02 carrinhos auxiliares para procedimentos,"R$ 80,00",23/09/2021,15/10/2021 12:58:00,02/10/2021 04:09:34
berço hospitalar,"R$ 100,00",23/09/2021,15/10/2021 12:24:00,02/10/2021 04:09:34
"aprox. 35 equiptos hospitalares , laboratório e outros","R$ 850,00",23/09/2021,15/10/2021 12:54:00,02/10/2021 04:09:34
cama hospitalar infantil,"R$ 100,00",23/09/2021,15/10/2021 12:22:00,02/10/2021 04:09:34
rack móvel para informática,"R$ 100,00",23/09/2021,15/10/2021 12:56:00,02/10/2021 04:09:34
geladeira e bebedouros,"R$ 250,00",23/09/2021,15/10/2021 12:52:00,02/10/2021 04:09:34
Casa 192 m² - Vila Tibério - Ribeirão Preto/SP,"R$ 29.510,00",10/12/2021,13/12/2021 10:00:00,02/10/2021 04:09:34
cama hospitalar elétrica,"R$ 190,00",23/09/2021,15/10/2021 12:50:00,02/10/2021 04:09:35
Braço Giratório de Elevação de Carga,"R$ 13.200,00",11/10/2021,18/11/2021 09:30:00,02/10/2021 04:09:35
cama hospitalar em aço,"R$ 140,00",23/09/2021,15/10/2021 12:48:00,02/10/2021 04:09:35
incubadora infantil fanem,"R$ 370,00",23/09/2021,15/10/2021 13:22:00,02/10/2021 04:09:35
Imóvel Comercial 275 m² - Bonfim Paulista - Ribeirão Preto/SP,"R$ 403.087,90",10/12/2021,13/12/2021 10:01:00,02/10/2021 04:09:35
Veículo VOLKSWAGEN FOX PLUS 1.6,"R$ 9.479,50",02/11/2021,10/12/2021 11:00:00,02/10/2021 04:09:35
Terreno 38 ha - Campininha - Atibaia/SP,"R$ 16.557.455,00",05/11/2021,06/03/2022 13:00:00,02/10/2021 04:09:35
maca hospitalar de transporte,"R$ 120,00",23/09/2021,15/10/2021 12:46:00,02/10/2021 04:09:35
geladeira doméstica electrolux,"R$ 120,00",23/09/2021,15/10/2021 13:16:00,02/10/2021 04:09:35
incubadora infantil fanem,"R$ 270,00",23/09/2021,15/10/2021 13:20:00,02/10/2021 04:09:36
cadeira de rodas,"R$ 100,00",23/09/2021,15/10/2021 13:10:00,02/10/2021 04:09:36
Apartamento 44 m² - Recreio dos Sorocabanos - Sorocaba/SP,"R$ 35.740,89",05/11/2021,13/12/2021 13:30:00,02/10/2021 04:09:36
coluna para foco de luz,"R$ 80,00",23/09/2021,15/10/2021 13:18:00,02/10/2021 04:09:36
Área de Terra 181.092 m² - Rod. dos Bandeirantes - Campinas/SP,"R$ 27.456.090,00",03/01/2022,06/01/2022 14:00:00,02/10/2021 04:09:36
chapeira e amaciador de bifes,"R$ 250,00",23/09/2021,15/10/2021 13:14:00,02/10/2021 04:09:36
cama hospitalar elétrica,"R$ 210,00",23/09/2021,15/10/2021 12:44:00,02/10/2021 04:09:36
fogão doméstico de 06 bocas,"R$ 100,00",23/09/2021,15/10/2021 13:12:00,02/10/2021 04:09:36
unidade de cuidado intensivo,"R$ 120,00",23/09/2021,15/10/2021 13:08:00,02/10/2021 04:09:36
13 cadeiras com estruturas cromadas,"R$ 300,00",23/09/2021,15/10/2021 12:42:00,02/10/2021 04:09:36
09 cadeiras diversas,"R$ 100,00",23/09/2021,15/10/2021 12:40:00,02/10/2021 04:09:36
carrinhos de inox e equipto para fisioterapia,"R$ 150,00",23/09/2021,15/10/2021 12:38:00,02/10/2021 04:09:37
compressor de laboratório fanem,"R$ 120,00",23/09/2021,15/10/2021 13:04:00,02/10/2021 04:09:37
cama hospitalar,"R$ 220,00",23/09/2021,15/10/2021 13:44:00,02/10/2021 04:09:37
equipamento para fototerapia infantil,"R$ 100,00",23/09/2021,15/10/2021 13:06:00,02/10/2021 04:09:37
"foco, mesas, suporte e outros","R$ 80,00",23/09/2021,15/10/2021 13:40:00,02/10/2021 04:09:37
03 macas para ambulatórios,"R$ 80,00",23/09/2021,15/10/2021 13:42:00,02/10/2021 04:09:37
02 colunas oftalmológicas,"R$ 220,00",23/09/2021,15/10/2021 13:02:00,02/10/2021 04:09:37
geladeira domestica continental,"R$ 180,00",23/09/2021,15/10/2021 13:38:00,02/10/2021 04:09:37
luminárias para raios x e focos de luzes,"R$ 100,00",23/09/2021,15/10/2021 13:32:00,02/10/2021 04:09:37
16 cadeiras diversas,"R$ 150,00",23/09/2021,15/10/2021 13:34:00,02/10/2021 04:09:37
equipamento para ultrasom,"R$ 1.300,00",23/09/2021,15/10/2021 13:00:00,02/10/2021 04:09:38
07 longarinas diversas,"R$ 100,00",23/09/2021,15/10/2021 12:36:00,02/10/2021 04:09:38
07 macas para ambulatório,"R$ 120,00",23/09/2021,15/10/2021 13:26:00,02/10/2021 04:09:38
02 lavadoras domésticas de roupas,"R$ 150,00",23/09/2021,15/10/2021 13:46:00,02/10/2021 04:09:38
cadeira de rodas,"R$ 120,00",23/09/2021,15/10/2021 13:36:00,02/10/2021 04:09:38
02 lavadoras domésticas de roupas,"R$ 150,00",23/09/2021,15/10/2021 13:30:00,02/10/2021 04:09:38
21 arquivos de aço,"R$ 250,00",23/09/2021,15/10/2021 13:28:00,02/10/2021 04:09:38
rack para informática,"R$ 80,00",23/09/2021,15/10/2021 13:24:00,02/10/2021 04:09:39
05 longarinas diversas,"R$ 100,00",23/09/2021,15/10/2021 14:04:00,02/10/2021 04:09:39
Prédio Residencial 230 m² - Vila Recreio - Ribeirão Preto/SP,"R$ 586.352,60",29/11/2021,02/12/2021 13:00:00,02/10/2021 04:09:39
03 mesas ginecológicas,"R$ 140,00",23/09/2021,15/10/2021 14:02:00,02/10/2021 04:09:40
Apartamento em Brotas / SP,"R$ 99.000,00",27/07/2021,27/11/2021 13:00:00,02/10/2021 04:09:40
Apartamento 130 m² - Vila Andrade - São Paulo/SP,"R$ 328.364,40",01/11/2021,09/12/2021 13:30:00,02/10/2021 04:09:40
cama hospitalar,"R$ 100,00",23/09/2021,15/10/2021 14:00:00,02/10/2021 04:09:40
Casa 200 m² - Quintino Facci II - Ribeirão Preto/SP,"R$ 76.992,98",29/11/2021,02/12/2021 13:30:00,02/10/2021 04:09:40
Casa 593 m² - Rio Abaixo - Atibaia/SP,"R$ 566.921,80",29/10/2021,06/12/2021 14:00:00,02/10/2021 04:09:40
rack para informática,"R$ 80,00",23/09/2021,15/10/2021 13:58:00,02/10/2021 04:09:40
02 seladoras,"R$ 140,00",23/09/2021,15/10/2021 13:54:00,02/10/2021 04:09:40
mesa ginecológica,"R$ 80,00",23/09/2021,15/10/2021 13:56:00,02/10/2021 04:09:41
Veículo VOLKSWAGEN POLO 1.6,"R$ 24.657,00",19/11/2021,22/11/2021 11:00:00,02/10/2021 04:09:41
Terreno 536 m² - Guaxinduva - Atibaia/SP,"R$ 186.550,16",29/10/2021,06/12/2021 13:00:00,02/10/2021 04:09:41
bebedouro de água,"R$ 120,00",23/09/2021,15/10/2021 13:52:00,02/10/2021 04:09:41
Apartamento 177 m² - Vila Andrade - São Paulo/SP,"R$ 667.360,63",22/10/2021,29/11/2021 13:00:00,02/10/2021 04:09:41
transformador de solda,"R$ 150,00",23/09/2021,15/10/2021 13:50:00,02/10/2021 04:09:41
Edifício Comercial 2.335 m² - Centro - Bragança Paulista/SP,"R$ 6.000.000,00",22/10/2021,29/11/2021 13:00:00,02/10/2021 04:09:41
Veículo CHEVROLET PRISMA MAXX,"R$ 10.040,00",15/10/2021,22/11/2021 11:01:00,02/10/2021 04:09:41
cama hospitalar infantil,"R$ 100,00",23/09/2021,15/10/2021 12:20:00,02/10/2021 04:09:41
Veículo CHEVROLET MONZA SL/E EFI,"R$ 5.724,00",19/11/2021,22/11/2021 11:01:00,02/10/2021 04:09:42
Casa 250 m² - Jardim Uirá - São José dos Campos/SP,"R$ 363.168,00",30/10/2021,19/11/2021 13:00:00,02/10/2021 04:09:42
Veículo CHEVROLET CELTA LIFE 2P,"R$ 7.072,50",15/10/2021,22/11/2021 11:00:00,02/10/2021 04:09:42
Apartamento 78 m² - Irajá - Ribeirão Preto/SP,"R$ 123.140,91",15/11/2021,18/11/2021 13:00:00,02/10/2021 04:09:42
cadeira para procedimentos elétrica,"R$ 200,00",23/09/2021,15/10/2021 13:48:00,02/10/2021 04:09:42
maca hospitalar de transporte,"R$ 150,00",23/09/2021,15/10/2021 12:12:00,02/10/2021 04:09:42
maca e chassi,"R$ 140,00",23/09/2021,15/10/2021 12:18:00,02/10/2021 04:09:42
maca hospitalar de transporte,"R$ 120,00",23/09/2021,15/10/2021 12:16:00,02/10/2021 04:09:42
maca hospitalar de transporte,"R$ 180,00",23/09/2021,15/10/2021 12:14:00,02/10/2021 04:09:43
Veículo MITSUBISHI L200 4X4 MMC,"R$ 11.000,00",11/10/2021,18/11/2021 11:00:00,02/10/2021 04:09:43
Apartamento 64 m² - Centro - São José do Rio Preto/SP,"R$ 379.800,78",14/11/2021,17/11/2021 13:31:00,02/10/2021 04:09:43
Veículo VOLKSWAGEN POLO 1.6,"R$ 20.000,00",15/11/2021,18/11/2021 10:00:00,02/10/2021 04:09:43
Casa 200 m² - Vila Penteado - São Paulo/SP,"R$ 630.629,06",12/11/2021,15/11/2021 14:00:00,02/10/2021 04:09:43
Veículo CHEVROLET ASTRA HB2P ADVANTAGE,"R$ 16.850,00",15/11/2021,18/11/2021 11:00:00,02/10/2021 04:09:44
Vaga de Garagem 21 m² - São Miguel Paulista - São Paulo/SP,"R$ 205.786,48",13/11/2021,16/11/2021 13:01:00,02/10/2021 04:09:44
SMART TV PHILIPS 50 POLEGADAS,"R$ 1.200,00",26/10/2021,15/11/2021 10:00:00,02/10/2021 04:09:44
Apartamento 112 m² - Jardim Redentor - São José do Rio Preto/SP,"R$ 516.274,80",14/11/2021,17/11/2021 13:30:00,02/10/2021 04:09:44
Apartamento 43 m² - Jardim Santa Rosa II - Sertãozinho/SP,"R$ 131.890,00",12/11/2021,15/11/2021 13:00:00,02/10/2021 04:09:44
Apartamento 46 m² - São Miguel Paulista - São Paulo/SP,"R$ 205.786,48",13/11/2021,16/11/2021 13:00:00,02/10/2021 04:09:44
Apartamento 38 m² - Vila Popular - São Paulo/SP,"R$ 163.479,00",05/11/2021,08/11/2021 14:00:00,02/10/2021 04:09:44
Gleba de Terras 26 alq - Igarapava/SP,"R$ 635.424,75",09/11/2021,12/11/2021 13:34:00,02/10/2021 04:09:45
Casa 144 m² - Jardim Santa Cristina - Santo André/SP,"R$ 380.955,28",05/11/2021,08/11/2021 13:30:00,02/10/2021 04:09:45
Casa 200 m² - Conj. Hab. São Deocleciano - São José do Rio Preto/SP,"R$ 203.817,95",09/11/2021,12/11/2021 14:00:00,02/10/2021 04:09:45
Apartamento 45 m² - Jardim Marajó - São José do Rio Preto/SP,"R$ 166.229,02",09/11/2021,12/11/2021 14:00:00,02/10/2021 04:09:45
Casa 68 m² - Tatuapé - São Paulo/SP,"R$ 126.172,23",08/11/2021,11/11/2021 14:00:00,02/10/2021 04:09:45
Propriedade Agrícola 30 alq - Igarapava/SP,"R$ 719.348,75",09/11/2021,12/11/2021 13:33:00,02/10/2021 04:09:45
Propriedade Agrícola 19 ha - Pontal/SP,"R$ 402.413,50",09/11/2021,12/11/2021 13:30:00,02/10/2021 04:09:45
Gleba de Terras 7 alq - Igarapava/SP,"R$ 167.848,05",09/11/2021,12/11/2021 13:32:00,02/10/2021 04:09:46
Apartamento 43 m² - Júlio de Mesquita - Sorocaba/SP,"R$ 87.084,22",01/10/2021,05/11/2021 14:00:00,02/10/2021 04:09:46
Apartamento 46 m² - Itaquera - São Paulo/SP,"R$ 267.105,44",08/11/2021,11/11/2021 13:30:00,02/10/2021 04:09:46
Forno Industrial de Fritas Cerâmicas,"R$ 820.000,00",05/11/2021,08/11/2021 10:00:00,02/10/2021 04:09:46
"aprox. 264,60 metros de tecidos de algodão em rolos","R$ 3.100,00",30/09/2021,18/10/2021 12:14:00,02/10/2021 04:09:46
Propriedade Agrícola 117 ha - Pontal/SP,"R$ 2.464.337,50",09/11/2021,12/11/2021 13:31:00,02/10/2021 04:09:46
