title,bid,opening,ending,extract_dt
Veículo Reboque Free Hobby,"R$ 2.000,00",18/10/2021,21/10/2021 11:00:00,02/10/2021 04:10:09
02 armários baixos com tampos de vidro,"R$ 180,00",23/09/2021,19/10/2021 11:22:00,02/10/2021 04:10:09
Veículo FIAT PALIO FIRE ECONOMY,"R$ 18.454,00",07/09/2021,15/10/2021 09:30:00,02/10/2021 04:10:10
Motocicleta YAMAHA YBR 125K,"R$ 2.500,00",11/10/2021,14/10/2021 12:00:00,02/10/2021 04:10:10
20 prateleiras de aço,"R$ 370,00",23/09/2021,19/10/2021 11:20:00,02/10/2021 04:10:10
Casa 95 m² - Centro - Manaus/AM,"R$ 240.241,95",11/10/2021,14/10/2021 13:00:00,02/10/2021 04:10:10
10 cadeiras giratórias diversas,"R$ 200,00",23/09/2021,19/10/2021 11:18:00,02/10/2021 04:10:10
Apartamento 219 m² - Ponta da Praia - Santos/SP,"R$ 630.218,93",30/09/2021,21/10/2021 13:00:00,02/10/2021 04:10:10
09 cadeiras giratórias diversas,"R$ 180,00",23/09/2021,19/10/2021 11:16:00,02/10/2021 04:10:10
Casa 83 m² - Ipiranga - Ribeirão Preto/SP,"R$ 104.733,38",11/10/2021,14/10/2021 14:00:00,02/10/2021 04:10:10
Casa 145 m² - Águas de São Pedro/SP,"R$ 472.553,56",11/10/2021,14/10/2021 13:00:00,02/10/2021 04:10:11
Veículo CHEVROLET CELTA LIFE 2P,"R$ 10.800,00",12/10/2021,15/10/2021 10:00:00,02/10/2021 04:10:11
Veículo VOLKSWAGEN FUSCA1300,"R$ 2.000,00",12/10/2021,15/10/2021 09:30:00,02/10/2021 04:10:11
estação de trabalho para 04 lugares,"R$ 120,00",23/09/2021,19/10/2021 11:44:00,02/10/2021 04:10:11
08 cadeiras fixas diversas,"R$ 80,00",23/09/2021,19/10/2021 11:14:00,02/10/2021 04:10:11
1 Guarda-Roupas 4 Portas,"R$ 370,18",08/09/2021,13/10/2021 11:01:00,02/10/2021 04:10:11
estação de trabalho para 03 lugares,"R$ 100,00",23/09/2021,19/10/2021 11:38:00,02/10/2021 04:10:11
1 Sofá 3 Lugares,"R$ 493,58",08/09/2021,13/10/2021 11:00:00,02/10/2021 04:10:11
02 armários de madeira,"R$ 100,00",23/09/2021,19/10/2021 11:36:00,02/10/2021 04:10:12
Veículo CHEVROLET CHEVETE,"R$ 1.900,00",07/09/2021,13/10/2021 13:00:00,02/10/2021 04:10:12
04 armários diversos,"R$ 160,00",23/09/2021,19/10/2021 11:32:00,02/10/2021 04:10:12
estação de trabalho para 02 lugares,"R$ 80,00",23/09/2021,19/10/2021 11:46:00,02/10/2021 04:10:12
lote de vídeos games e jogos antigos,"R$ 360,00",24/09/2021,14/10/2021 11:20:00,02/10/2021 04:10:12
aprox. 20 sucatas de aparelhos de celular,"R$ 360,00",24/09/2021,14/10/2021 11:22:00,02/10/2021 04:10:12
estação de trabalho para 06 lugares,"R$ 180,00",23/09/2021,19/10/2021 11:40:00,02/10/2021 04:10:12
estação de trabalho para 04 lugares,"R$ 120,00",23/09/2021,19/10/2021 12:04:00,02/10/2021 04:10:13
estação de trabalho para 04 lugares,"R$ 120,00",23/09/2021,19/10/2021 12:02:00,02/10/2021 04:10:13
estação de trabalho para 04 lugares,"R$ 120,00",23/09/2021,19/10/2021 11:42:00,02/10/2021 04:10:13
15 mesas diversas,"R$ 180,00",23/09/2021,19/10/2021 11:30:00,02/10/2021 04:10:13
02 mesas tipo aparadores,"R$ 100,00",23/09/2021,19/10/2021 11:34:00,02/10/2021 04:10:13
estação de trabalho para 10 lugares,"R$ 280,00",23/09/2021,19/10/2021 11:56:00,02/10/2021 04:10:13
estação de trabalho para 10 lugares,"R$ 280,00",23/09/2021,19/10/2021 12:00:00,02/10/2021 04:10:13
tv de lcd 43 polegadas,"R$ 350,00",24/09/2021,14/10/2021 11:30:00,02/10/2021 04:10:13
02 mesas redondas para reunião,"R$ 160,00",23/09/2021,19/10/2021 12:10:00,02/10/2021 04:10:13
07 estações de trabalho pra 02 lugares,"R$ 210,00",23/09/2021,19/10/2021 12:08:00,02/10/2021 04:10:13
estação de trabalho para 06 lugares,"R$ 180,00",23/09/2021,19/10/2021 12:34:00,02/10/2021 04:10:14
05 estações de trabalho pra 02 lugares,"R$ 150,00",23/09/2021,19/10/2021 12:06:00,02/10/2021 04:10:14
estação de trabalho para 10 lugares,"R$ 280,00",23/09/2021,19/10/2021 12:28:00,02/10/2021 04:10:14
02 estações de trabalho para 02/06 lugares,"R$ 220,00",23/09/2021,19/10/2021 12:32:00,02/10/2021 04:10:14
estação de trabalho para 10 lugares,"R$ 280,00",23/09/2021,19/10/2021 12:26:00,02/10/2021 04:10:14
06 estações de trabalho pra 02 lugares,"R$ 180,00",23/09/2021,19/10/2021 12:24:00,02/10/2021 04:10:14
estação de trabalho para 04 lugares,"R$ 120,00",23/09/2021,19/10/2021 11:58:00,02/10/2021 04:10:14
tv de plasma 42 polegadas,"R$ 200,00",24/09/2021,14/10/2021 11:28:00,02/10/2021 04:10:14
estação de trabalho para 04 lugares,"R$ 120,00",23/09/2021,19/10/2021 11:54:00,02/10/2021 04:10:14
estação de trabalho para 10 lugares,"R$ 280,00",23/09/2021,19/10/2021 12:30:00,02/10/2021 04:10:15
01 mesa redonda para reunião,"R$ 80,00",23/09/2021,19/10/2021 12:22:00,02/10/2021 04:10:15
tv de lcd 40 polegadas,"R$ 250,00",24/09/2021,14/10/2021 11:26:00,02/10/2021 04:10:15
estação de trabalho para 04 lugares,"R$ 120,00",23/09/2021,19/10/2021 11:52:00,02/10/2021 04:10:15
02 mesas redondas para reunião,"R$ 160,00",23/09/2021,19/10/2021 12:20:00,02/10/2021 04:10:15
estação de trabalho para 08 lugares,"R$ 240,00",23/09/2021,19/10/2021 11:50:00,02/10/2021 04:10:15
02 mesas redondas para reunião,"R$ 160,00",23/09/2021,19/10/2021 12:18:00,02/10/2021 04:10:15
estação de trabalho para 08 lugares,"R$ 240,00",23/09/2021,19/10/2021 11:48:00,02/10/2021 04:10:15
cpus e monitores,"R$ 200,00",24/09/2021,14/10/2021 11:16:00,02/10/2021 04:10:16
02 mesas redondas para reunião,"R$ 160,00",23/09/2021,19/10/2021 12:16:00,02/10/2021 04:10:16
02 mesas redondas para reunião,"R$ 160,00",23/09/2021,19/10/2021 12:14:00,02/10/2021 04:10:16
02 mesas redondas para reunião e 02 tampos,"R$ 200,00",23/09/2021,19/10/2021 12:12:00,02/10/2021 04:10:16
tv de lcd 32 polegadas,"R$ 200,00",24/09/2021,14/10/2021 11:24:00,02/10/2021 04:10:16
aparelho de ar portátil,"R$ 180,00",24/09/2021,14/10/2021 11:18:00,02/10/2021 04:10:16
filmadora PANASONIC,"R$ 200,00",24/09/2021,14/10/2021 11:04:00,02/10/2021 04:10:16
lote de eletro domésticos diversos,"R$ 160,00",24/09/2021,14/10/2021 11:14:00,02/10/2021 04:10:16
toca discos vintage,"R$ 260,00",24/09/2021,14/10/2021 11:12:00,02/10/2021 04:10:16
10 impressoras diversas,"R$ 200,00",24/09/2021,14/10/2021 11:06:00,02/10/2021 04:10:17
11 aparelhos de som e vídeo,"R$ 150,00",24/09/2021,14/10/2021 11:08:00,02/10/2021 04:10:17
armário tipo alto de madeira,"R$ 120,00",23/09/2021,19/10/2021 12:58:00,02/10/2021 04:10:17
18 cadeiras giratórias na cor preta,"R$ 420,00",23/09/2021,19/10/2021 12:48:00,02/10/2021 04:10:17
balcão tipo recepção de loja,"R$ 250,00",23/09/2021,19/10/2021 12:44:00,02/10/2021 04:10:17
07 monitores diversos de lcd,"R$ 210,00",24/09/2021,14/10/2021 11:10:00,02/10/2021 04:10:17
armário tipo alto de madeira,"R$ 120,00",23/09/2021,19/10/2021 12:56:00,02/10/2021 04:10:17
armário tipo alto de madeira,"R$ 120,00",23/09/2021,19/10/2021 12:52:00,02/10/2021 04:10:17
armário tipo alto de madeira,"R$ 120,00",23/09/2021,19/10/2021 12:54:00,02/10/2021 04:10:17
estação de trabalho para 06 lugares,"R$ 180,00",23/09/2021,19/10/2021 12:36:00,02/10/2021 04:10:18
armário tipo alto de madeira,"R$ 120,00",23/09/2021,19/10/2021 12:50:00,02/10/2021 04:10:18
arquivos e sucatas de cadeiras,"R$ 60,00",24/09/2021,14/10/2021 11:00:00,02/10/2021 04:10:18
03 carrinhos para transportes e 02 suportes para expositor,"R$ 80,00",23/09/2021,19/10/2021 12:46:00,02/10/2021 04:10:18
02 mesas diversas,"R$ 160,00",23/09/2021,19/10/2021 12:42:00,02/10/2021 04:10:18
"armários, gaveteiros e estantes","R$ 100,00",23/09/2021,19/10/2021 12:40:00,02/10/2021 04:10:18
estação de trabalho para 06 lugares,"R$ 180,00",23/09/2021,19/10/2021 12:38:00,02/10/2021 04:10:18
mesa de reunião tipo retangular,"R$ 150,00",23/09/2021,19/10/2021 11:28:00,02/10/2021 04:10:18
periféricos diversos para informática e outros,"R$ 240,00",24/09/2021,14/10/2021 11:02:00,02/10/2021 04:10:19
armário tipo alto de madeira,"R$ 120,00",23/09/2021,19/10/2021 13:12:00,02/10/2021 04:10:19
armário tipo alto de madeira,"R$ 120,00",23/09/2021,19/10/2021 13:10:00,02/10/2021 04:10:19
mesa móvel dobrável,"R$ 120,00",23/09/2021,19/10/2021 13:22:00,02/10/2021 04:10:19
mesa em L tipo atendimento com armário,"R$ 180,00",23/09/2021,19/10/2021 13:20:00,02/10/2021 04:10:19
armário tipo alto de madeira,"R$ 120,00",23/09/2021,19/10/2021 13:04:00,02/10/2021 04:10:19
armário tipo alto de madeira,"R$ 120,00",23/09/2021,19/10/2021 13:06:00,02/10/2021 04:10:19
02 mesas na cor branca,"R$ 100,00",23/09/2021,19/10/2021 13:44:00,02/10/2021 04:10:19
06 gaveteiros com 03 gavetas,"R$ 120,00",23/09/2021,19/10/2021 13:46:00,02/10/2021 04:10:19
mesa móvel dobrável,"R$ 120,00",23/09/2021,19/10/2021 13:42:00,02/10/2021 04:10:20
armário tipo alto de madeira,"R$ 120,00",23/09/2021,19/10/2021 13:40:00,02/10/2021 04:10:20
armário de madeira com tampo de vidro,"R$ 120,00",23/09/2021,19/10/2021 13:18:00,02/10/2021 04:10:20
armário tipo alto de madeira,"R$ 120,00",23/09/2021,19/10/2021 13:14:00,02/10/2021 04:10:20
armário de madeira com tampo de vidro,"R$ 120,00",23/09/2021,19/10/2021 13:16:00,02/10/2021 04:10:20
armário tipo alto de madeira,"R$ 120,00",23/09/2021,19/10/2021 13:08:00,02/10/2021 04:10:20
armário tipo alto de madeira,"R$ 120,00",23/09/2021,19/10/2021 13:36:00,02/10/2021 04:10:20
mesa móvel dobrável,"R$ 120,00",23/09/2021,19/10/2021 13:24:00,02/10/2021 04:10:20
armário tipo alto de madeira,"R$ 120,00",23/09/2021,19/10/2021 13:38:00,02/10/2021 04:10:20
armário tipo alto de madeira,"R$ 120,00",23/09/2021,19/10/2021 13:02:00,02/10/2021 04:10:21
armário tipo alto de madeira,"R$ 120,00",23/09/2021,19/10/2021 13:00:00,02/10/2021 04:10:21
armário e estantes,"R$ 90,00",23/09/2021,19/10/2021 13:30:00,02/10/2021 04:10:21
02 vasos de planta,"R$ 50,00",23/09/2021,19/10/2021 13:28:00,02/10/2021 04:10:21
03 armários baixos na cor branca,"R$ 100,00",23/09/2021,19/10/2021 13:26:00,02/10/2021 04:10:21
armário tipo alto de madeira,"R$ 120,00",23/09/2021,19/10/2021 13:34:00,02/10/2021 04:10:21
armário tipo alto de madeira,"R$ 120,00",23/09/2021,19/10/2021 13:32:00,02/10/2021 04:10:21
04 prateleiras de aço com tampos de madeira,"R$ 120,00",23/09/2021,19/10/2021 11:26:00,02/10/2021 04:10:21
lote de cestos de lixo diversos,"R$ 120,00",23/09/2021,19/10/2021 11:24:00,02/10/2021 04:10:21
Veículo CITROEN XSARA FLX,"R$ 4.156,80",08/09/2021,13/10/2021 10:01:00,02/10/2021 04:10:22
18 armários altos de aço,"R$ 720,00",23/09/2021,19/10/2021 11:12:00,02/10/2021 04:10:22
Veículo HONDA FIT EX,"R$ 16.599,60",08/09/2021,13/10/2021 10:00:00,02/10/2021 04:10:22
11 arquivos de aço com 04 gavetas,"R$ 220,00",23/09/2021,19/10/2021 11:10:00,02/10/2021 04:10:22
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 14:04:00,02/10/2021 04:10:22
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 14:10:00,02/10/2021 04:10:22
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 14:08:00,02/10/2021 04:10:22
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 14:06:00,02/10/2021 04:10:22
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 14:02:00,02/10/2021 04:10:22
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 13:52:00,02/10/2021 04:10:23
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 14:00:00,02/10/2021 04:10:23
07 gaveteiros com 03 gavetas,"R$ 140,00",23/09/2021,19/10/2021 13:48:00,02/10/2021 04:10:23
12 arquivos de aço com 04 gavetas,"R$ 280,00",23/09/2021,19/10/2021 11:08:00,02/10/2021 04:10:23
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 13:58:00,02/10/2021 04:10:23
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 13:56:00,02/10/2021 04:10:23
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 13:54:00,02/10/2021 04:10:23
06 gaveteiros com 03 gavetas,"R$ 120,00",23/09/2021,19/10/2021 14:29:00,02/10/2021 04:10:23
07 cadeiras fixas cromadas tipo recepção,"R$ 250,00",23/09/2021,19/10/2021 14:23:00,02/10/2021 04:10:23
08 gaveteiros com 03 gavetas,"R$ 160,00",23/09/2021,19/10/2021 13:50:00,02/10/2021 04:10:23
02 mesas redondas para reunião,"R$ 160,00",23/09/2021,19/10/2021 14:27:00,02/10/2021 04:10:24
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 14:31:00,02/10/2021 04:10:24
01 mesa redonda para reunião,"R$ 80,00",23/09/2021,19/10/2021 14:25:00,02/10/2021 04:10:24
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 14:21:00,02/10/2021 04:10:24
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 14:12:00,02/10/2021 04:10:24
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 14:19:00,02/10/2021 04:10:24
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 14:18:00,02/10/2021 04:10:24
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 14:16:00,02/10/2021 04:10:24
container móvel para lixo,"R$ 180,00",23/09/2021,19/10/2021 11:04:00,02/10/2021 04:10:24
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 14:14:00,02/10/2021 04:10:25
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 14:33:00,02/10/2021 04:10:25
container móvel para lixo,"R$ 180,00",23/09/2021,19/10/2021 11:02:00,02/10/2021 04:10:25
12 arquivos de aço com 04 gavetas,"R$ 240,00",23/09/2021,19/10/2021 11:06:00,02/10/2021 04:10:25
mesa de reunião entalhada com 15 cadeiras,"R$ 3.500,00",23/09/2021,19/10/2021 14:57:00,02/10/2021 04:10:25
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 14:53:00,02/10/2021 04:10:25
lote de materiais diversos para escritório,"R$ 80,00",23/09/2021,19/10/2021 11:00:00,02/10/2021 04:10:25
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 14:51:00,02/10/2021 04:10:25
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 14:47:00,02/10/2021 04:10:25
mesa de reunião com tampo de granito,"R$ 300,00",23/09/2021,19/10/2021 14:39:00,02/10/2021 04:10:26
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 14:49:00,02/10/2021 04:10:26
08 gaveteiros com 03 gavetas na cor bege,"R$ 80,00",23/09/2021,19/10/2021 14:55:00,02/10/2021 04:10:26
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 14:45:00,02/10/2021 04:10:26
lote de porta copos e papéis,"R$ 80,00",23/09/2021,19/10/2021 14:41:00,02/10/2021 04:10:26
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 14:37:00,02/10/2021 04:10:26
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 14:35:00,02/10/2021 04:10:26
10 gaveteiros com 03 gavetas,"R$ 200,00",23/09/2021,19/10/2021 14:43:00,02/10/2021 04:10:27
Prédio Comercial 178 m² - Jardim América - Indaiatuba/SP,"R$ 1.409.168,63",08/10/2021,11/10/2021 13:30:00,02/10/2021 04:10:27
expositores aramados na cor branca,"R$ 100,00",23/09/2021,19/10/2021 15:05:00,02/10/2021 04:10:27
frigobar marca cônsul,"R$ 180,00",23/09/2021,19/10/2021 15:01:00,02/10/2021 04:10:27
geladeira doméstica marca cônsul,"R$ 250,00",23/09/2021,19/10/2021 15:03:00,02/10/2021 04:10:27
máquina para lavagem de carpetes jacto,"R$ 1.500,00",23/09/2021,19/10/2021 15:09:00,02/10/2021 04:10:28
Terreno 348 m² - Jardim Diamante - Sertãozinho/SP,"R$ 70.475,59",08/10/2021,11/10/2021 14:00:00,02/10/2021 04:10:28
Apartamento 139 m² - Mooca - São Paulo/SP,"R$ 263.898,86",06/09/2021,11/10/2021 14:00:00,02/10/2021 04:10:28
Veículo FIAT UNO MILLE ECONOMY,"R$ 3.600,00",06/09/2021,11/10/2021 10:00:00,02/10/2021 04:10:28
Apartamento 180 m² - Cidade Dutra - São Paulo/SP,"R$ 949.417,60",08/10/2021,11/10/2021 13:15:00,02/10/2021 04:10:28
Apartamento 879 m² - Morumbi - São Paulo/SP,"R$ 1.408.594,00",03/09/2021,11/10/2021 13:00:00,02/10/2021 04:10:28
02 armários baixos com 02 portas,"R$ 80,00",23/09/2021,19/10/2021 15:07:00,02/10/2021 04:10:28
maca para ambulatório,"R$ 100,00",23/09/2021,19/10/2021 14:59:00,02/10/2021 04:10:28
Apartamento 45 m² - Itaquera - São Paulo/SP,"R$ 216.463,63",08/10/2021,11/10/2021 13:00:00,02/10/2021 04:10:29
Veículo VOLKSWAGEN FOX,"R$ 18.435,19",08/10/2021,11/10/2021 10:00:00,02/10/2021 04:10:29
Motocicleta DAFRA RIVA 150,"R$ 3.688,00",01/10/2021,04/10/2021 12:00:00,02/10/2021 04:10:29
Terreno 1.232 m² - Parque São Bento - Itapetininga/SP,"R$ 482.052,88",05/10/2021,08/10/2021 14:00:00,02/10/2021 04:10:29
Motocicleta HONDA CG 125 FAN KS,"R$ 5.566,00",08/10/2021,11/10/2021 09:30:00,02/10/2021 04:10:29
Imóvel Comercial 1.195 m² - Jardim Universal -  Araraquara/SP,"R$ 572.925,80",05/10/2021,08/10/2021 13:30:00,02/10/2021 04:10:29
Terreno 360 m² - Bom Retiro - Bragança Paulista/SP,"R$ 181.836,00",05/10/2021,08/10/2021 14:00:00,02/10/2021 04:10:29
Veículo FORD CORCEL LUXO SL,"R$ 3.000,00",01/10/2021,04/10/2021 10:00:00,02/10/2021 04:10:29
Motocicleta KASINSKI CRUISE 125,"R$ 1.626,00",06/09/2021,11/10/2021 11:00:00,02/10/2021 04:10:30
1 TV 50” - Marca Philco,"R$ 900,00",30/08/2021,04/10/2021 10:02:00,02/10/2021 04:10:30
01 TV de Led 42” - Marca Samsung,"R$ 400,00",30/08/2021,04/10/2021 10:03:00,02/10/2021 04:10:30
02 Poltronas Giratórias - Cor Bege,"R$ 500,00",30/08/2021,04/10/2021 10:01:00,02/10/2021 04:10:30
01 Sofá de 2 Lugares - Cor Bege,"R$ 300,00",30/08/2021,04/10/2021 10:00:00,02/10/2021 04:10:30
